name,id
The Incredible Hulk,rl2791015937
Iron Man,rl1482327553
Iron Man 2,rl1515881985
Captain America the First Avenger,rl1900578305
Thor,rl3094644225
The Avengers,rl709199361
Iron Man 3,rl1532659201
Thor the Dark World,rl3111421441
Captain America the Winter Soldier,rl3194193409
Guardians of the Galaxy,rl3177416193
Avengers Age of Ultron,rl675644929
Ant-Man,rl88245761
Captain America Civil War,rl3210970625
Doctor Strange,rl3076752897
Guardians of the Galaxy Vol 2,rl2976089601
Spider-Man Homecoming,rl863208961
Thor Ragnarok,rl2959312385
Black Panther,rl2992866817
Avengers Infinity War,rl3043198465
Ant-Man and the Wasp,rl2088535553
Captain Marvel,rl3009644033
Avengers Endgame,rl3059975681
